,id,hour,key
0,1893490,04/07/2024 01:35:58,caps lock
1,505255,04/07/2024 01:35:58,A
2,8117815,04/07/2024 01:35:58,caps lock
3,12478563,04/07/2024 01:35:59,t
4,907918,04/07/2024 01:35:59,r
5,12632313,04/07/2024 01:35:59,a
6,1567019,04/07/2024 01:35:59,v
7,4207830,04/07/2024 01:35:59,´
8,4495544,04/07/2024 01:35:59,e
9,5094217,04/07/2024 01:35:59,s
10,1618464,04/07/2024 01:35:59,space
11,7377961,04/07/2024 01:35:59,d
12,8219909,04/07/2024 01:35:59,a
13,7802072,04/07/2024 01:35:59,space
14,4590709,04/07/2024 01:36:00,u
15,6156419,04/07/2024 01:36:00,t
16,3243607,04/07/2024 01:36:00,i
17,8547807,04/07/2024 01:36:00,l
18,9881511,04/07/2024 01:36:00,i
19,4606175,04/07/2024 01:36:01,z
20,6055709,04/07/2024 01:36:01,a
21,7847367,04/07/2024 01:36:01,ç
22,2038910,04/07/2024 01:36:01,~
23,9317472,04/07/2024 01:36:01,ctrl
24,6726607,04/07/2024 01:36:01,backspace
25,7640672,04/07/2024 01:36:01,backspace
26,4404088,04/07/2024 01:36:02,backspace
27,6573397,04/07/2024 01:36:02,caps lock
28,10912778,04/07/2024 01:36:03,caps lock
29,12758679,04/07/2024 01:36:03,caps lock
30,1308986,04/07/2024 01:36:03,U
31,756829,04/07/2024 01:36:03,caps lock
32,7235414,04/07/2024 01:36:03,t
33,4462740,04/07/2024 01:36:04,i
34,8551978,04/07/2024 01:36:04,l
35,6875354,04/07/2024 01:36:04,i
36,6235507,04/07/2024 01:36:04,z
37,7950788,04/07/2024 01:36:04,a
38,7883490,04/07/2024 01:36:06,ctrl
39,12617832,04/07/2024 01:36:06,backspace
40,10969466,04/07/2024 01:36:06,caps lock
41,10928009,04/07/2024 01:36:06,S
42,7173809,04/07/2024 01:36:06,caps lock
43,5330441,04/07/2024 01:36:07,e
44,10164077,04/07/2024 01:36:07,r
45,453003,04/07/2024 01:36:07,´
46,10650596,04/07/2024 01:36:07,a
47,8037553,04/07/2024 01:36:07,space
48,1427296,04/07/2024 01:36:07,u
49,6266721,04/07/2024 01:36:07,t
50,11006290,04/07/2024 01:36:07,i
51,4020970,04/07/2024 01:36:07,l
52,11018105,04/07/2024 01:36:08,i
53,11266213,04/07/2024 01:36:08,z
54,2578616,04/07/2024 01:36:08,a
55,12695898,04/07/2024 01:36:08,d
56,4236790,04/07/2024 01:36:08,o
57,4300125,04/07/2024 01:36:08,space
58,12946073,04/07/2024 01:36:08,t
59,9494950,04/07/2024 01:36:08,e
60,6453001,04/07/2024 01:36:08,c
61,7479995,04/07/2024 01:36:08,n
62,12670709,04/07/2024 01:36:08,i
63,10394925,04/07/2024 01:36:09,c
64,6518015,04/07/2024 01:36:09,a
65,12463590,04/07/2024 01:36:09,s
66,8830292,04/07/2024 01:36:09,space
67,11808649,04/07/2024 01:36:09,d
68,11730445,04/07/2024 01:36:09,e
69,2126750,04/07/2024 01:36:09,space
70,3416513,04/07/2024 01:36:09,caps lock
71,3019231,04/07/2024 01:36:09,U
72,10755780,04/07/2024 01:36:09,I
73,5244119,04/07/2024 01:36:09,caps lock
74,5419095,04/07/2024 01:36:09,space
75,6170899,04/07/2024 01:36:10,p
76,7875838,04/07/2024 01:36:10,a
77,5816064,04/07/2024 01:36:10,r
78,11954068,04/07/2024 01:36:10,a
79,4434999,04/07/2024 01:36:10,space
80,5560590,04/07/2024 01:36:10,d
81,13225687,04/07/2024 01:36:10,e
82,2795254,04/07/2024 01:36:10,s
83,8159939,04/07/2024 01:36:10,e
84,524715,04/07/2024 01:36:10,n
85,3434763,04/07/2024 01:36:11,v
86,9354268,04/07/2024 01:36:11,o
87,2422355,04/07/2024 01:36:11,l
88,7114048,04/07/2024 01:36:11,v
89,1388811,04/07/2024 01:36:11,e
90,12364614,04/07/2024 01:36:11,r
91,2735787,04/07/2024 01:36:11,space
92,11352599,04/07/2024 01:36:11,ctrl
93,3619913,04/07/2024 01:36:11,backspace
94,3843037,04/07/2024 01:36:12,backspace
95,5827541,04/07/2024 01:36:12,e
96,13019366,04/07/2024 01:36:12,space
97,12712702,04/07/2024 01:36:12,caps lock
98,429579,04/07/2024 01:36:12,U
99,12190791,04/07/2024 01:36:13,caps lock
100,3709609,04/07/2024 01:36:13,caps lock
101,7244356,04/07/2024 01:36:13,X
102,8152091,04/07/2024 01:36:13,caps lock
103,10394653,04/07/2024 01:36:13,space
104,12851988,04/07/2024 01:36:13,p
105,2463736,04/07/2024 01:36:13,o
106,11643718,04/07/2024 01:36:13,a
107,3598700,04/07/2024 01:36:14,backspace
108,11727608,04/07/2024 01:36:14,backspace
109,9441959,04/07/2024 01:36:14,a
110,4645960,04/07/2024 01:36:14,r
111,2682370,04/07/2024 01:36:14,a
112,449149,04/07/2024 01:36:14,space
113,2108311,04/07/2024 01:36:14,d
114,1832391,04/07/2024 01:36:14,e
115,2420555,04/07/2024 01:36:14,s
116,5252453,04/07/2024 01:36:15,e
117,11356533,04/07/2024 01:36:15,n
118,2361566,04/07/2024 01:36:15,o
119,2794171,04/07/2024 01:36:15,v
120,3347882,04/07/2024 01:36:15,l
121,7981603,04/07/2024 01:36:15,v
122,1037979,04/07/2024 01:36:15,e
123,12090930,04/07/2024 01:36:15,r
124,10414660,04/07/2024 01:36:15,space
125,1207422,04/07/2024 01:36:15,u
126,4740621,04/07/2024 01:36:15,m
127,4560927,04/07/2024 01:36:16,space
128,6351769,04/07/2024 01:36:16,s
129,13100746,04/07/2024 01:36:16,ctrl
130,1807940,04/07/2024 01:36:16,backspace
131,8331343,04/07/2024 01:36:16,backspace
132,1187634,04/07/2024 01:36:17,backspace
133,1718,04/07/2024 01:36:17,ctrl
134,11175651,04/07/2024 01:36:18,backspace
135,2925218,04/07/2024 01:36:18,d
136,2865068,04/07/2024 01:36:18,e
137,2589278,04/07/2024 01:36:18,s
138,1595673,04/07/2024 01:36:18,e
139,2293638,04/07/2024 01:36:18,n
140,1793706,04/07/2024 01:36:19,v
141,841873,04/07/2024 01:36:19,o
142,13043018,04/07/2024 01:36:19,l
143,3405015,04/07/2024 01:36:19,v
144,10897767,04/07/2024 01:36:19,e
145,7883236,04/07/2024 01:36:19,r
146,7334888,04/07/2024 01:36:19,space
147,4926699,04/07/2024 01:36:19,u
148,6905433,04/07/2024 01:36:19,m
149,2342330,04/07/2024 01:36:19,a
150,10293267,04/07/2024 01:36:19,space
151,5655770,04/07/2024 01:36:19,i
152,507920,04/07/2024 01:36:19,n
153,594146,04/07/2024 01:36:19,t
154,3058527,04/07/2024 01:36:20,e
155,3491739,04/07/2024 01:36:20,r
156,4238720,04/07/2024 01:36:20,a
157,12036436,04/07/2024 01:36:20,f
158,6537875,04/07/2024 01:36:20,a
159,11586667,04/07/2024 01:36:20,c
160,12394398,04/07/2024 01:36:20,e
161,1156998,04/07/2024 01:36:20,backspace
162,7330838,04/07/2024 01:36:21,ctrl
163,1323758,04/07/2024 01:36:21,backspace
164,646433,04/07/2024 01:36:21,i
165,5631877,04/07/2024 01:36:21,n
166,6753376,04/07/2024 01:36:21,t
167,5478419,04/07/2024 01:36:21,e
168,7744440,04/07/2024 01:36:21,r
169,327414,04/07/2024 01:36:22,f
170,8025097,04/07/2024 01:36:22,a
171,10933936,04/07/2024 01:36:22,c
172,8748859,04/07/2024 01:36:22,e
173,10525472,04/07/2024 01:36:22,space
174,10250185,04/07/2024 01:36:22,g
175,6328311,04/07/2024 01:36:22,r
176,10547296,04/07/2024 01:36:22,a
177,3277767,04/07/2024 01:36:22,f
178,8181015,04/07/2024 01:36:23,i
179,4941829,04/07/2024 01:36:23,c
180,4710026,04/07/2024 01:36:23,a
181,5215918,04/07/2024 01:36:23,space
182,1106396,04/07/2024 01:36:23,d
183,10179712,04/07/2024 01:36:23,e
184,9910566,04/07/2024 01:36:23,space
185,4080028,04/07/2024 01:36:23,backspace
186,8108071,04/07/2024 01:36:24,backspace
187,12708530,04/07/2024 01:36:24,backspace
188,10937656,04/07/2024 01:36:24,i
189,8401106,04/07/2024 01:36:24,n
190,8799244,04/07/2024 01:36:24,t
191,8372094,04/07/2024 01:36:24,u
192,1722272,04/07/2024 01:36:24,i
193,7370838,04/07/2024 01:36:25,t
194,5336211,04/07/2024 01:36:25,i
195,2551341,04/07/2024 01:36:25,v
196,12914208,04/07/2024 01:36:25,a
197,2990552,04/07/2024 01:36:25,space
198,2979849,04/07/2024 01:36:26,q
199,2313938,04/07/2024 01:36:26,backspace
200,8836310,04/07/2024 01:36:26,e
201,7097868,04/07/2024 01:36:26,space
202,7454597,04/07/2024 01:36:26,f
203,11019351,04/07/2024 01:36:26,e
204,9155236,04/07/2024 01:36:27,backspace
205,7025039,04/07/2024 01:36:27,backspace
206,12210508,04/07/2024 01:36:27,d
207,11763411,04/07/2024 01:36:27,backspace
208,11897536,04/07/2024 01:36:28,backspace
209,772329,04/07/2024 01:36:28,backspace
210,13232038,04/07/2024 01:36:28,q
211,62517,04/07/2024 01:36:28,u
212,2009533,04/07/2024 01:36:28,e
213,4127406,04/07/2024 01:36:28,space
214,3971664,04/07/2024 01:36:28,s
215,3413414,04/07/2024 01:36:28,e
216,10576110,04/07/2024 01:36:28,j
217,9917283,04/07/2024 01:36:29,space
218,7967024,04/07/2024 01:36:29,a
219,6931344,04/07/2024 01:36:29,backspace
220,5811153,04/07/2024 01:36:29,backspace
221,12146821,04/07/2024 01:36:30,a
222,3926867,04/07/2024 01:36:30,space
223,6405429,04/07/2024 01:36:30,r
224,10351520,04/07/2024 01:36:30,e
